⍨ |,german,english,hungarian,type,date,score,labels,notes
e,"Möwe,~n",seagull,sirály,noun,2014-10-02,5,,
e,"Mücke,~n",Mosquito,szúnyog,noun,2015-05-03,5,,
s,"Muffensausen,-",fear,félelem,noun,2014-08-24,5,,
r,"Museumgänger,~",museum goer,múzeumbajáró,noun,2014-08-31,5,,
e,"Mussjacke,~n",straitjacket (slang),kényszerkabát (slang),noun,2015-02-01,5,,
s,"Muster,~n",example,minta,noun,2014-05-01,5,,
r,"Mut,-","courage, guts",bátorság,noun,2014-08-06,5,,
r,"Nachdruck,-","emphasis, stress",nyomaték,noun,2015-02-09,5,,
e,"Nachricht,~en",message,üzenet,noun,2014-08-03,5,,
e,"Nachrichten,~ (pl)",news,hír,noun,2014-05-01,5,,
r,"Nachteil,~e",disadvantage;,hátrány,noun,2014-08-24,5,,
r,"Nachweis,~e","proof, evidence; verification; certificate",igazolás; bizonyíték,noun,2015-02-05,5,,
r,"Nacken,~",neck,nyak,noun,2014-05-12,5,,
s,"Nadelkissen,~",pin cushion,tűpárna,noun,2014-05-01,5,,
s,"Nagetier,~e","rodent, gnawer",rágcsáló,noun,2014-08-06,5,,
r,"Nährstoff,~e",nutrient,tápanyag,noun,2014-05-01,5,,
e,"Nasennebenhöhle,~n",paranasal sinuses,arcüreg,noun,2015-03-04,5,,
e,"Nässe,~ (pl)",wet,nedvesség,noun,2014-05-01,5,,
e,"Natter,~n",colubrid (a common kind of snake),sikló,noun,2014-10-14,5,,
r,"Nebel,~","fog, mist, haze; nebula (astronomy)",köd,noun,2014-08-24,5,,
s,"Netzwerk,~e",network,hálózat,noun,2014-10-06,5,,
s,"Neugeborene,~n",newborn,újszülött,noun,2014-08-20,5,,
s,"Neuseeland,-",New Zealand,Új-Zéland,noun,2014-10-16,5,,
r,"Neuseeländer,~",New Zealander (male),új-zélandi (férfi),noun,2014-10-16,5,,
e,"Neuseeländerin,~nen",New Zealander (female),új-zélandi (nő),noun,2014-10-16,5,,
s,"Neuseeländisch,~e",New Zealander,új-zélandi,noun,2014-10-16,5,,
e,"News,-",news,hír,noun,2014-10-06,5,,
e,"Newsgroup,~s",newsgroup,hírcsoport,noun,2014-10-06,5,,
r,"Newsletter,~",newsletter,hírlevél,noun,2014-10-06,5,,
e,"Nichte,~n",niece,unokahúg,noun,2014-08-11,5,,
e,"Niederlande,- (pl)",Netherlands,Hollandia,noun,2014-10-16,5,,
r,"Niederländer,~",Dutchman,holland (férfi),noun,2014-10-16,5,,
e,"Niederländerin,~nen",Dutchwoman,holland (nő),noun,2014-10-16,5,,
s,"Niederländisch,~e",Dutch,holland,noun,2014-10-16,5,,
s,"Niveau,~s",level,"szint (tudás, nyelvtudás, tenger, stb), színvonal",noun,2014-09-23,5,,
r,"Norden,-",north,észak,noun,2014-05-01,5,,
s,"Norwegen,-",Norway,Norvégia,noun,2014-10-16,5,,
r,"Norweger,~",Norwegian (male),norvég (férfi),noun,2014-10-16,5,,
e,"Norwegerin,~nen",Norwegian (female),norvég (nő),noun,2014-10-16,5,,
s,"Norwegisch,~e",Norwegian,norvég,noun,2014-10-16,5,,
s,"Notebook,~s",notebook,notebook,noun,2014-10-06,5,,
e,"Nuss,⍨e",nut,anyacsavar,noun,2014-08-04,5,,
s,"Opfer,~",sacrifice; victim; casualty,áldozat; sérült; halott,noun,2014-10-15,5,,
r,"Osten,-",east,kelet,noun,2014-05-01,5,,
s,"Österreich,-",Austria,Ausztria,noun,2014-10-16,5,,
r,"Österreicher,~",Austrian (male),ausztria (férfi),noun,2014-10-16,5,,
e,"Österreicherin,~nen",Austrian (female),ausztria (nő),noun,2014-10-16,5,,
s,"Österreichisch,~e",Austrian,ausztria,noun,2014-10-16,5,,
e,"Panne,~n",breakdown,műszaki hiba,noun,2014-05-01,5,,
s,"Paradies,~e",paradise,paradicsom,noun,2014-05-01,5,,
r,"Park,~s/~e/⍨e",park,park,noun,2014-05-01,5,,
s,"Parkhaus,⍨e","parking garage, multi-storey car park",parkoló ház,noun,2014-05-01,5,,
r,"Passant,~en",passerby; pedestrian,járókelő,noun,2015-03-30,5,,
e,"Pasta,-",pasta,tészta,noun,2014-10-15,5,,
r,"Patient,~en",patient (male),beteg (férfi/semleges),noun,2014-05-01,5,,
e,"Patientin,~nen",patient (female),beteg (nő),noun,2014-05-01,5,,
r,"Pelz,~e",fur,szőr (állat); szőrme,noun,2014-05-01,5,,
r,"Pfad,~e",path,útvonal,noun,2014-10-06,5,,
r,"Pfarrer,~",pastor (male),"lelkész, plébános",noun,2014-05-01,5,,
e,"Pfarrerin,~nen",pastor (female),"lelkésznő, plébánosnő",noun,2014-05-01,5,,
r,"Pfau,~en",peacock,páva,noun,2014-08-24,5,,
e,"Pfeife,~n",whistle; pipe,síp; pipa,noun,2014-10-14,5,,
r,"Pfeil,~e",arrow,nyíl,noun,2014-05-29,5,,
e,"Pferdekutsche,~n","carriage, coach",lovaskocsi,noun,2014-05-01,5,,
s,"Pflaster,~","band-aid, sticking plaster",sebtapasz,noun,2014-05-09,5,,
r,"Pflicht,~en","duty, obligation",kötelesség,noun,2015-03-04,5,,
s,"Pflicht,~en",duty,kötelesség,noun,2014-05-01,5,,
r,"Pilz,~e",mushroom,gomba,noun,2014-05-01,5,,
r,"PIN,~s",PIN,PIN,noun,2014-10-06,5,,
r,"Pinsel,~n",brush,ecset,noun,2014-05-01,5,,
r,"Pixel,~",pixel,pixel,noun,2014-10-06,5,,
e,"Pizza,~s",pizza,pizza,noun,2014-10-15,5,,
r,"Plan,⍨en",plan,terv,noun,2014-05-01,5,,
r,"Platz,⍨e",place,"hely, ülőhely; tér (városé); piac",noun,2014-10-10,5,,
s,"Plätzchen,~",cookie; biscuit,süti,noun,2015-03-09,5,,
r,"Pole,~n",Pole (male),lengyel (férfi),noun,2014-10-16,5,,
s,"Polen,-",Poland,Lengyelország,noun,2014-10-16,5,,
e,"Polin,~nen",Pole (female),lengyel (nő),noun,2014-10-16,5,,
s,"Polnisch,~e",Polish,lengyel,noun,2014-10-16,5,,
s,"Portugal,-",Portugal,Portugália,noun,2014-10-16,5,,
r,"Portugiese,~n",Portuguese (male),portugál (férfi),noun,2014-10-16,5,,
e,"Portugiesin,~nen",Portuguese (female),portugál (nő),noun,2014-10-16,5,,
s,"Portugiesisch,~e",Portuguese,portugál,noun,2014-10-16,5,,
e,"Programmiersprache,~n",programming language,programozási nyelv,noun,2014-10-06,5,,
s,"Proviant,~e",provision; supplies,"élelem, élelmiszer",noun,2015-03-29,5,,
r,"Provider,~",provider,szolgáltató,noun,2014-10-06,5,,
r,"Prozessor,~en",processor,processzor,noun,2014-10-06,5,,
r,"Punkt,~e",point,"pont, pötty",noun,2014-10-08,5,,
r,"Quellcode,~s",source code,forrás kód,noun,2014-10-06,5,,
r,"Rand,⍨er",edge,szél (valami széle),noun,2014-05-01,5,,
r,"Raser,~",speeder,gyorshajtó,noun,2014-05-01,5,,
e,"Rasse,~n","race, breed","rassz, fajta",noun,2014-06-10,5,,
e,"Rate,~n",rate,részlet (fizetés),noun,2014-05-01,5,,
r,"Räuber,~",robber; pirate,rabló; kalóz,noun,2015-03-30,5,,
e,"Raubkopie,~n","private copy, bootleg",kalóz másolat,noun,2014-10-06,5,,
s,"Raumschiff,~e",space ship,űrhajó,noun,2014-10-14,5,,
r,"Rechner,~",computer; calculator,számítógép; számológép,noun,2014-10-06,5,,
e,"Regel,~n",law,törvény,noun,2015-05-03,5,,
e,"Reihe,~n",row,sor,noun,2014-05-29,5,,
e,"Reihenfolge,~n","order, sequence",sorrend,noun,2014-05-29,5,,
e,"Reise,~n","trip, journey",utazás,noun,2014-05-01,5,,
s,"Rennen,~",running; race (sport),futás; verseny (sport),noun,2014-05-01,5,,
e,"Rente,~n",pension,nyugdíj,noun,2014-05-01,5,,
r,"Rentner,~",pensioner,nyugdíjas,noun,2014-05-01,5,,
e,"Rentnerin,~nen",pensioner,nyugdíjas,noun,2014-05-01,5,,
s,"Republik Österreich,-",The Republic of Austria,Osztrák Köztársaság,noun,2014-10-16,5,,
r,"Rest,~e",rest,maradék,noun,2014-05-01,5,,
r,"Restmüll,-",hazardous waste,veszélyes hulladék,noun,2014-10-08,5,,
e,"Rettung,~en",rescue,"mentés, megmentés",noun,2014-05-01,5,,
e,"Reue,-","repentance; remorse, regret","bűntudat, megbánás",noun,2014-08-20,5,,
e,"Richtung,~en",direction,irány,noun,2014-05-01,5,,
r,"Riegel,~",bolt; bar,retesz,noun,2015-03-22,5,,
r,"Ritter,~n",knight,lovag,noun,2014-05-01,5,,
e,"Ritterburg,~en",knights' castle,lovagi vár,noun,2014-05-01,5,,
e,"Rohrzange,~","plumber wrench, pipe wrench",franciakulcs,noun,2014-08-04,5,,
e,"Rolle,~n",role,szerep,noun,2014-06-04,5,,
r,"Router,~",router,router,noun,2014-10-06,5,,
e,"Routine,~n",routine,rutin,noun,2014-05-01,5,,
r,"Russe,~n",Russian (male),orosz (férfi),noun,2014-10-16,5,,
e,"Russin,~nen",Russian (female),orosz (nő),noun,2014-10-16,5,,
s,"Russisch,~e",Russian,orosz,noun,2014-10-16,5,,
s,"Russland,-",Russia,Oroszország,noun,2014-10-16,5,,
e,"Sache,~n",thing (anything),dolog,noun,2014-05-01,5,,
r,"Sack,⍨e","bag, sack",szatyor,noun,2014-10-08,5,,
r,"Satz,⍨e",set,szett,noun,2014-06-06,5,,
e,"Sau,⍨e",sow,nőstény disznó,noun,2014-10-01,5,,
r,"Säugling,~e",infant,csecsemő,noun,2014-08-20,5,,
e,"Säule,~n","pillar, column",oszlop,noun,2014-05-28,5,,
r,"Scanner,~",scanner,szkenner,noun,2014-10-06,5,,
s,"Schaf,~e",sheep,birka,noun,2014-10-15,5,,
s,"Schaffleisch,-",mutton (the flesh of sheep used as food),birkahús,noun,2014-10-15,5,,
s,"Schafott,~e",scaffold (for execution),"állvány, emelvény (kivégzéshez)",noun,2014-08-05,5,,
e,"Schattenseite,~n",downside,rossz oldal,noun,2014-05-17,5,,
r,"Schaum,⍨e",foam; head (beer),hab,noun,2014-05-01,5,,
e,"Scheidung,~en",divorce,válás,noun,2014-10-06,5,,
r,"Schelm,~e",prankster; rogue,"zsivány, gazember",noun,2014-10-20,5,,
r,"Schiff,~e",ship,hajó,noun,2014-05-01,5,,
e/r,"Schiffbrüchige,~n",castaway; shipwrecked,hajótörött; kitaszított,noun,2015-03-29,5,,
s,"Schimpfwort,⍨e",vulgar word or expression,vulgáris szó v. kifejezés,noun,2014-08-06,5,,
e,"Schlampe,~n",slut,ribanc,noun,2014-08-02,5,,
e,"Schlange,~n",backstabber (female),kétszínű (nőre),noun,2014-08-24,5,,
e,"Schließung,~en",closure,megnyugvás?,noun,2014-05-12,5,,
r,"Schmied,~e",smith,kovács,noun,2014-08-10,5,,
r,"Schornstein,~e",chimney,kémény,noun,2014-08-24,5,,
r,"Schotte,~n",Scotsman,skót (férfi),noun,2014-10-16,5,,
e,"Schottin,~nen",Scotswoman,skót (nő),noun,2014-10-16,5,,
s,"Schottisch,~e",Scottish,skót,noun,2014-10-16,5,,
s,"Schottland,-",Scotland,Skócia,noun,2014-10-16,5,,
e,"Schraube,~n",screw,csavar,noun,2014-08-04,5,,
r,"Schraubendreher,~",screwdriver,csavarhúzó,noun,2014-08-04,5,,
r,"Schraubenschlüssel,~",wrench,villáskulcs,noun,2014-08-04,5,,
r,"Schreibtisch,~e",desk,íróasztal,noun,2014-10-10,5,,
r,"Schüchterne,~n",shy person,szégyenlős,noun,2014-08-31,5,,
e,"Schuld,~en",debt; fault; guilt,"adósság; hiba; bűn, vétek",noun,2014-05-01,5,,
s,"Schuldgefühl,~e","sense of guilt, guilty feeling",bűntudat,noun,2014-08-20,5,,
e,"Schulheft,~e",school notebook,iskolai füzet,noun,2014-05-09,5,,
r,"Schuss,⍨e",shut,feles; lövés,noun,2014-10-08,5,,
r,"Schwachkopf,⍨e",moron,gyengeelméjű (kedves is lehet),noun,2014-10-15,5,,
r,"Schwachsinn,-",nonsense; mental retardation (dated),hülyeség,noun,2014-05-01,5,,
r,"Schwager,⍨",brother-in-law,sógor,noun,2014-10-11,5,,
e,"Schwägerin,~nen",sister-in-law,sógornő,noun,2014-10-11,5,,
e,"Schweiz,-",Switzerland,Svájc,noun,2014-10-16,5,,
r,"Schweizer,~",Swiss (male),svájci (férfi),noun,2014-10-16,5,,
e,"Schweizerin,~nen",Swiss (female),svájci (nő),noun,2014-10-16,5,,
e,"Schwerigkeit,~en",difficulty,nehézség,noun,2014-10-09,5,,
r,"Scrollbalken,~",scrollbar,scrollbar; csúszka (IT),noun,2014-10-06,5,,
e,"Seife,~n",soap,szappan,noun,2014-05-01,5,,
s,"Selbstvertrauen,-",self-confidence,önbizalom,noun,2014-06-06,5,,
e,"Seltenheit,~en",rarity,ritkaság,noun,2014-05-01,5,,
e,"Sendung,~en",program,tévéműsor,noun,2014-08-11,5,,
r,"Serbe,~n",Serbian (male),szerb (férfi),noun,2014-10-16,5,,
s,"Serbia,-",Serbia,Szerbia,noun,2014-10-16,5,,
e,"Serbin,~nen",Serbian (female),szerb (nő),noun,2014-10-16,5,,
s,"Serbisch,~e",Serbian,szerb,noun,2014-10-16,5,,
r,"Server,~",server,szerver; kiszolgáló,noun,2014-10-06,5,,
r,"Sieger,~","winner, victor","nyertes, győztes",noun,2014-05-01,5,,
e,"Siegerin,~nen","winner, victor","nyertesnő, győztesnő",noun,2014-05-01,5,,
e,"Signaltafel,~n",signal board,kijelzőtábla,noun,2014-05-01,5,,
r,"Sirup,~s/~e",syrup,szirup,noun,2014-10-08,5,,
r,"Slot,~s",slot,slot (IT),noun,2014-10-06,5,,
r,"Slowake,~n",Slovakian (male),szlovák (férfi),noun,2014-10-16,5,,
s,"Slowakei,-",Slovakia,Szlovákia,noun,2014-10-16,5,,
e,"Slowakin,~nen",Slovakian (female),szlovák (nő),noun,2014-10-16,5,,
s,"Slowakisch,~e",Slovakian,szlovák,noun,2014-10-16,5,,
s,"Slowenien,-",Slovenia,Szlovénia,noun,2014-10-16,5,,
r,"Slowenier,~",Slovenian (male),szlovén (férfi),noun,2014-10-16,5,,
e,"Slowenierin,~nen",Slovenian (female),szlovén (nő),noun,2014-10-16,5,,
s,"Slowenisch,~e",Slovenian,szlovén,noun,2014-10-16,5,,
r,"Sondermüll,-",hazardous waste,veszélyes hulladék,noun,2014-10-08,5,,
e,"Sonne,~n",sun,nap (égitest),noun,2015-04-28,5,,
r,"Sorglose,~n",carefree person; careless person,"gondtalan, laza (személy); gondatlan (személy)",noun,2014-08-31,5,,
s,"Spanien,-",Spain,Spanyolország,noun,2014-10-16,5,,
r,"Spanier,~",Spaniard (male),spanyol (férfi),noun,2014-10-16,5,,
e,"Spanierin,~nen",Spaniard (female),spanyol (nő),noun,2014-10-16,5,,
s,"Spanisch,~e",Spanish,spanyol,noun,2014-10-16,5,,
e,"Sparmaßnahme,~n",austerity measure (chiefly in the plural),megszoritó intézkedés,noun,2014-06-04,5,,
r,"Speck,~e",bacon,szalonna (zsír),noun,2014-10-06,5,,
r,"Speicherplatz,⍨e",slot,slot (IT),noun,2014-10-06,5,,
r,"Sportler,~",sportsman,sportoló,noun,2014-06-10,5,,
e,"Sportlerin,~nen",sportswoman,sportolónő,noun,2014-06-10,5,,
e,"Sprachverwendung,~en",language skill(s),nyelvhasználat,noun,2014-09-23,5,,
r,"Sprung,⍨e","jump, leap",ugrás,noun,2014-05-18,5,,
e,"Spur,~en",trace,nyom,noun,2015-04-19,5,,
e,"Stadt,⍨e","city, town",város,noun,2015-05-03,5,,
e,"Staffel,~n","season (tv), squadron (military)",szezon (tv); század (kat); raj (kat),noun,2014-10-15,5,,
r,"Stamm,⍨e","tribe, root, treetrunk",törzs,noun,2014-10-14,5,,
r,"Stammbaum,⍨e",pedigree,családfa,noun,2014-09-10,5,,
r,"Stand,⍨e",level,"állás, szint",noun,2014-09-23,5,,
e,"Startbahn,~en","runway, airstrip",felszálló pálya,noun,2014-05-01,5,,
e,"Startseite,~n",homepage,főoldal (IT),noun,2014-10-06,5,,
r,"Stau,~s/~e",congestion ,torlódás,noun,2014-05-01,5,,
s,"Staugefahr,~en",risk of congestion,torlódás veszély,noun,2014-05-01,5,,
r,"Stein,~e",stone,kő,noun,2014-10-15,5,,
e,"Stelle,~n","spot, place, position",hely,noun,2014-05-10,5,,
r,"Stiefel,~",boot,csizma,noun,2014-05-24,5,,
e,"Stiftung,~en",foundation,alapítvány,noun,2014-09-10,5,,
e,"Stimmung,~en",feel,"hangulat (inkább emberé, eseményé)",noun,2014-07-14,5,,
s,"Stipendium, Stipendien",scholarship ,ösztöndíj,noun,2014-05-01,5,,
s,"Stofftier,~e",plush toy,plüssállat,noun,2014-05-01,5,,
r,"Stoß,⍨e",hit,karambol,noun,2014-09-14,5,,
s,"Streichholz,⍨er",match,gyufa,noun,2014-10-14,5,,
r,"Streit,~e",dispute,vita,noun,2014-08-13,5,,
r,"String,~s",string,"string (IT), karakterlánc",noun,2014-10-06,5,,
r,"Strom,⍨e",electricity,áram,noun,2014-05-01,5,,
e,"Strophe,~n","verse, stanza ",versszak,noun,2014-08-24,5,,
e,"Stube,~n","living room (regional), parlour","nappali (tájszó), ",noun,2014-05-18,5,,
e,"Stufe,~n",step,lépcsőfok,noun,2014-09-23,5,,
r,"Süden,-",south,dél,noun,2014-05-01,5,,
s,"Sushi,~s",sushi ,sushi,noun,2014-05-01,5,,
e,"Tabelle,~n",spreadsheet,tabuláris dokumentum (pl. Excel fájl),noun,2014-10-06,5,,
r,"Tag,~e",day,nap (idő),noun,2014-10-06,5,,
s,"Tag,~s",tag (IT),címke,noun,2014-10-06,5,,
e,"TAN,~s",transaction security number,tranzakciós biztonsági szám,noun,2014-10-06,5,,
r,"Täter,~","perpetrator, culprit",tettes,noun,2015-02-01,5,,
e,"Tätowierung,~en",tattoo,tetoválás,noun,2015-03-29,5,,
e,"Tatsache,~n",fact,tény,noun,2014-05-01,5,,
e,"Telefonleitung,~en",phone line,telefon kábel,noun,2014-10-06,5,,
s,"Textfeld,~er",textfield,szöveges bevitelimező,noun,2014-10-06,5,,
e,"Textverarbeitung,~en",text processing,szöveg feldolgozás,noun,2014-10-06,5,,
r,"Tisch,~e",table,asztal,noun,2014-10-10,5,,
e,"Titelseite,~n",homepage,főoldal (IT),noun,2014-10-06,5,,
e,"Tonaufnahme,~n",audio recording,hangfelvétel,noun,2014-08-13,5,,
r,"Traffic,-",traffic (IT),forgalom,noun,2014-10-06,5,,
e,"Transaktionsnummer,~n",transaction security number,tranzakciós biztonsági szám,noun,2014-10-06,5,,
e,"Trauma,Traumata/Traumen",trauma,trauma,noun,2015-04-18,5,,
e,"Treue,-",faithfulness,hűség,noun,2014-05-01,5,,
r,"Trottel,~","dork, jerk, sucker, moron",idióta (kedves is lehet),noun,2014-10-15,5,,
r,"Trubel,-","turmoil, turbulence, confusion",zűrzavar; forgatag,noun,2014-07-28,5,,
r,"Tscheche,~n",Czech (male),cseh (férfi),noun,2014-10-16,5,,
e,"Tschechien,-",Czech Republic,Csehország,noun,2014-10-16,5,,
e,"Tschechin,~nen",Czech (female),cseh (nő),noun,2014-10-16,5,,
s,"Tschechisch,~e",Czech,cseh,noun,2014-10-16,5,,
r,"Türke,~n",Turk (male),török (férfi),noun,2014-10-16,5,,
e,"Türkei,-",Turkey,Törökország,noun,2014-10-16,5,,
e,"Türkin,~nen",Turk (female),török (nő),noun,2014-10-16,5,,
s,"Türkisch,~e",Turkish,török,noun,2014-10-16,5,,
r,"Turm,⍨e",tower,torony,noun,2014-05-01,5,,
r,"Typ,~en",guy (colloquial),srác (informális),noun,2014-05-01,5,,
e,"Überstunde,~n",overtime,túlóra,noun,2014-08-20,5,,
e,"Überweisung,~en",transfer; money transfer; referral (from/to physician),utalás; beutalás; átutalás,noun,2014-05-12,5,,
s,"Ukraine,-",Ukraine,Ukrajna,noun,2014-10-16,5,,
r,"Ukrainer,~",Ukrainian (male),ukrán (férfi),noun,2014-10-16,5,,
e,"Ukrainerin,~nen",Ukrainian (female),ukrán (nő),noun,2014-10-16,5,,
s,"Ukrainisch,~e",Ukrainian,ukrán,noun,2014-10-16,5,,
e,"Umgebung,~en",environment,környezet,noun,2014-08-08,5,,
e,"Umgebung,~en",environment,környzet,noun,2014-08-31,5,,
e,"Umleitung,~en",detour,"kerülő, kitérő",noun,2014-05-01,5,,
r,"Umsatz,⍨e","turnover, income, sales",bevétel,noun,2015-04-18,5,,
r,"Umweg,~e",detour,"kerülő, kitérő",noun,2014-05-01,5,,
e,"Umzugskiste,~n",carton,kartondoboz (költözéshez),noun,2014-05-01,5,,
r,"Ungar,~n",Hungarian (male),magyar (férfi),noun,2014-10-16,5,,
e,"Ungarin,~nen",Hungarian (female),magyar (nő),noun,2014-10-16,5,,
s,"Ungarisch,~e",Hungarian,magyar,noun,2014-10-16,5,,
s,"Ungarn,-",Hungary,Magyarország,noun,2014-10-16,5,,
e,"Unhöflichkeit,~en","rudeness, discourtesy, impoliteness, discourteousness",illetlenség,noun,2014-08-20,5,,
r,"Unsinn,-",silliness,marhaság; megfontolatlanság; értelmetlenség,noun,2014-10-15,5,,
e,"Unterbrechung,~en",recess; hiatus; outage,szünet; kihagyás,noun,2015-05-03,5,,
e,"Unterkunft,⍨e",accommodation,szállás,noun,2014-07-14,5,,
e,"Unterlage,~n",document,"irat, okmány, dokumentum",noun,2015-03-30,5,,
r,"Unterschied,~e",difference,különbség,noun,2014-05-01,5,,
e,"URL,~s",URL,URL,noun,2014-10-06,5,,
e,"Ursache,~n","cause, reason, root",ok,noun,2015-03-22,5,,
r,"US-Amerikaner,~",American (male),amerikai (férfi),noun,2014-10-16,5,,
e,"US-Amerikanerin,~nen",American (female),amerikai (nő),noun,2014-10-16,5,,
e,"USA,- (pl)",USA,USA,noun,2014-10-16,5,,
r,"Validator,~en",validator,validator; ellenőrző (IT),noun,2014-10-06,5,,
e,"Verabredung,~en",appointment,találkozó,noun,2014-05-01,5,,
e,"Verantwortung,~en",responsibility,felelősség,noun,2015-04-28,5,,
e,"Verb,~en",verb,ige,noun,2014-08-11,5,,
r,"Verein,~e","society, association, club",egyesület,noun,2015-02-28,5,,
e,"Vereinigten Staaten von Amerika,- (pl)",The United States of America,Amerikai Egyesült Államok,noun,2014-10-16,5,,
s,"Verfallsdatum, Verfallsdaten",expiration date,lejárati idő,noun,2014-05-29,5,,
s,"Verhalten,~",behaviour,viselkedés,noun,2014-10-01,5,,
e,"Verhandlung,~en",negotiation,tárgyalás,noun,2014-09-23,5,,
r,"Verkehr,~e",traffic; transport; intercourse,forgalom; közlekedés; közösülés,noun,2015-03-04,5,,
e,"Verletzung,~en","injury, violation","sérülés, sérelem, sértés",noun,2014-08-20,5,,
e,"Verpackung,~en",packaging,csomagolás,noun,2014-10-08,5,,
e,"Verpflichtung,~en",obligation,kötelesség,noun,2015-03-04,5,,
e,"Version,~en",version,verzió,noun,2014-10-06,5,,
r,"Vertrauter,~",confidant,bizalmas,noun,2014-08-20,5,,
e,"Verwandte,~n/~","relative, family member",rokon,noun,2014-10-11,5,,
e,"Verwendung,~en",use (function or purpose for which sth may be employed),alkalmazás,noun,2014-05-29,5,,
r,"Vogel,~n",bird,madár,noun,2014-05-01,5,,
e,"Volke,~n",cloud,felhő,noun,2014-05-01,5,,
e,"Volksrepublik China,-",The People's Republic of China,Kínai Népköztársaság,noun,2014-10-16,5,,
r,"Vorgänger,~",predecessor,előd,noun,2014-05-01,5,,
e,"Vorgängerin,~nen",predecessor,előd,noun,2014-05-01,5,,
s,"Vorhaben,~",intent,szándék,noun,2015-05-03,5,,
e,"Vorlesung,~en","lecture, reading","felolvasás, előadás (egyetemi)",noun,2014-10-06,5,,
r,"Vorschlag,⍨e","suggestion, proposal",javaslat,noun,2014-05-24,5,,
r,"Vorsprung,⍨e","advance, advantage","előny (fizikai, pontokban, stb.)",noun,2015-03-04,5,,
s,"Vorstellungsgespräch,~e",job interview,bemutatkozó megbeszélés/elbeszélgetés,noun,2014-10-20,5,,
r,"Vorteil,~e",advantage; benefit,előny,noun,2014-08-24,5,,
r,"Wahnsinn,-","insanity, madness; (colloquial) awesome!, man!, wicked!",őrület,noun,2014-05-09,5,,
e,"Wahrheit,~en",truth,igazság,noun,2014-10-20,5,,
r,"Waldmeister,-",(sweet) woodruff,szagos müge,noun,2014-10-08,5,,
e,"Walze,~n",road roller,Úthenger,noun,2015-04-18,5,,
e,"Wanne,~n",tub,kád,noun,2014-05-01,5,,
e,"Warnung,~en",warning,figyelmeztetés,noun,2014-05-09,5,,
e,"Webcam,~s",webcam,webkamera,noun,2014-10-06,5,,
e,"Website,~s",website,"website, webszájt, weboldal",noun,2014-10-06,5,,
r,"Wecker,~",alarm clock,vekker,noun,2014-10-11,5,,
r,"Wedge,~s",wedges,wedges,noun,2014-05-01,5,,
s,"Weltall,-","space, universe","űr, univerzum",noun,2014-10-14,5,,
r,"Wert,~e",worth; value,érték,noun,2014-05-01,5,,
r,"Westen,-",west,nyugat,noun,2014-05-01,5,,
r,"Wettbewerb,~e","competition, contest",verseny,noun,2014-05-01,5,,
e,"Wette,~n",bet,fogadás (sport),noun,2014-05-01,5,,
r,"Wiederaufbau,~",reconstruction,újjáépítés,noun,2015-03-29,5,,
r,"Wissenstand,⍨e",knowledge level,tudásszint,noun,2014-09-23,5,,
r,"Wissenswert,~e",worth knowing,tudniérdemes,noun,2014-05-01,5,,
e,"Wohngemeinschaft,~en",flat share,lakóközösség,noun,2015-04-21,5,,
e,"Wurst,⍨e",sausage ,kolbász,noun,2014-05-01,5,,
e,"Wurzel,~n",root; square root,gyökér; négyzetgyök,noun,2014-06-06,5,,
e,"Wüste,~n",desert,sivatag,noun,2015-02-05,5,,
e,"Wut,-","fury, rage",düh,noun,2014-09-15,5,,
r,"Zähler,~",counter,"counter, számoló (IT)",noun,2014-10-06,5,,
e,"Zange,~n","plier, pincer, tongs",fogó; kiszedő,noun,2014-08-04,5,,
r,"Zaun,⍨e",fence,kerítés,noun,2014-08-13,5,,
s,"Zeichen,~",sign,jel,noun,2014-06-06,5,,
r,"Zeichensatz,⍨e",character set; font,karakterkészlet; font,noun,2014-10-06,5,,
r,"Zeiger,~",pointer,pointer (IT),noun,2014-10-06,5,,
e,"Zeit,~en",time,idő,noun,2014-10-09,5,,
e,"Zeitverschiebung,~en","time difference, time offset",idő/időzóna különbség,noun,2014-09-01,5,,
